RED- BR,Znanstveno ime,Hrvatsko ime,Englesko ime,Nazočnost,Redovitost,Gnjezdarica,Preletnica,Zimovalica,Status ugroženosti gnijezdeće populacije,Kriterij ugroženosti (GN),Status ugroženosti na globalnoj razini,Bern,Bonn ,EU dir
167,Actitis hypoleucos,mala prutka,Common Sandpiper,A,R,B,M,W,VU,D1,LC,II,ll,
168,Arenaria interpres,kameničar,Ruddy Turnstone,A,Ir, -,M*,W*, -,,LC,II,ll,
169,Calidris canutus,rđasti žalar,Red Knot,A,Ir, -,M*, -, -,,LC,lll,ll,II-B 
170,Calidris alba,bijeli žalar,Sanderling,A,R, -,M, -, -,,LC,II,ll,
171,Calidris minuta,mali žalar,Little Stint,A,R, -,M, -, -,,LC,II,ll,
172,Calidris temminckii,sijedi žalar,Temminck's Stint,A,R, -,M, -, -,,LC,II,ll,
173,Calidris ferruginea,krivokljuni žalar,Curlew Sandpiper,A,R, -,M, -, -,,LC,II,ll,
174,Calidris maritima,morski žalar,Purple Sandpiper,B,, -, -, -, -,,LC,II,ll,
175,Calidris alpina,žalar cirikavac,Dunlin,A,R, -,M,W, -,,LC,II,ll,
176,Limicola falcinellus,plosnatokljuni žalar,Broad-billed Sandpiper,A,Rare, -, -, -, -,,LC,II,ll,
177,Philomachus pugnax,pršljivac,Ruff,A,R, -,M,W*, -,,LC,lll,ll,I;II-B
178,Phalaropus lobatus,tankokljuna liskonoga,Red-necked Phalarope,A,Rare, -, -, -, -,,LC,lll,ll,I
179,Phalaropus fulicarius,riđa liskonoga,Red Phalarope,B,, -, -, -, -,,LC,lll,ll,
180,Catharacta skua,veliki pomornik,Great Skua,B,, -, -, -, -,,LC,lll,,
181,Stercorarius pomarinus,širokorepi pomornik,Pomarine Jaeger,A,Rare, -, -, -, -,,LC,lll,,
182,Stercorarius parasiticus,kratkorepi pomornik,Parasitic Jaeger,A,Rare, -, -, -, -,,LC,lll,,
183,Stercorarius longicaudus,dugorepi pomornik,Long-tailed Jaeger,A,Rare, -, -, -, -,,LC,lll,,
184,Larus canus,burni galeb,Mew Gull,A,R, -,M,W, -,,LC,lll,,II-B 
185,Larus audouinii,sredozemni galeb,Audouin's Gull,A,R,B, -, -,EN,D,NT,II,"l, ll",I
186,Larus delawarensis,prstenokljuni galeb,Ring-billed Gull,A,Rare, -, -, -, -,,LC,,,
187,Larus marinus,veliki galeb,Great Black-backed Gull,A,Rare, -, -, -, -,,LC,,,II-B 
188,Larus argentatus,srebrnasti galeb,Herring Gull,A,R, -,M,W, -,,LC,,,II-B 
189,Larus cachinnans,pontski galeb,Caspian Gull,A,R, -,M,W, -,,LC,,,II-B 
190,Larus michahellis,galeb klaukavac,Yellow-legged Gull,A,R,B,M,W,LC,-,LC,,,
191,Larus fuscus,tamnoleđi galeb,Lesser Black-backed Gull,A,R, -,M,W, -,,LC,,,II-B 
192,Larus ridibundus,riječni galeb,Black-headed Gull,A,R,B,M,W,NT,-,LC,lll,,II-B 
193,Larus genei,tankokljuni galeb,Slender-billed Gull,A,Rare, -, -, -, -,,LC,II,ll,I
194,Larus melanocephalus,crnoglavi galeb,Mediterranean Gull,A,R, -,M, -, -,,LC,II,ll,I
195,Larus pipixcan,prerijski galeb,Franklin's Gull,A,Rare, -, -, -, -,,LC,,,
196,Larus minutus,mali galeb,Little Gull,A,R, -,M,W, -,,LC,II,,I
197,Rissa tridactyla,troprsti galeb,Black-legged Kittiwake,A,Ac, -, -, -, -,,LC,lll,,
198,Sterna nilotica,debelokljuna čigra,Gull-billed Tern,A,Ir,BRe*,M*, -,NA,-,LC,II,,I
199,Sterna caspia,velika čigra,Caspian Tern,A,R, -,M, -, -,,LC,II,ll,I
200,Sterna sandvicensis,dugokljuna čigra,Sandwich Tern,A,R, -,M,W, -,,LC,II,ll,I
201,Sterna hirundo,crvenoklunja  čigra,Common Tern,A,R,B,M, -,NT*,-,LC,II,ll,I
202,Sterna albifrons,mala čigra,Little Tern,A,R,B,M, -,EN,,LC,II,ll,I
203,Chlidonias hybrida,bjelobrada čigra,Whiskered Tern,A,R,B,M, -,NT,-,LC,II,,I
204,Chlidonias leucopterus,bjelokrila čigra,White-winged Tern,A,R,BRe*,M, -,NA,-,LC,II,ll,
205,Chlidonias niger,crna čigra,Black Tern,A,R,BRe*,M, -,NA,-,LC,II,ll,I
